0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.220137867417193545e-01,-2.213078221648642485e-01,4.370759011665187876e-01
-8.283239215299611491e-01,-2.594028709605056271e-01,4.385361150781078576e-01
-1.217861395347258124e+00,-2.605334364167687378e-01,4.390231195900439198e-01
-1.591698147630833615e+00,-2.465867582416458037e-01,4.397867168447877617e-01
-1.951358498655599405e+00,-2.237783163432448263e-01,4.408211568648334744e-01
-2.298631473136751424e+00,-1.942447092272762410e-01,4.421213461952168688e-01
-2.635520757712151330e+00,-1.588872910993741616e-01,4.436870516604864978e-01
-2.964218700034333409e+00,-1.181487646164781774e-01,4.455239416428620758e-01
-3.287102975252953474e+00,-7.220790378468049109e-02,4.476445791382500095e-01
-3.606751792792826983e+00,-2.102793620330526900e-02,4.500702129219024683e-01
-3.925992454511145535e+00,3.564938760016555380e-02,4.528331964080427041e-01
-4.247985487006601169e+00,9.833078376508387619e-02,4.559803694301077792e-01
-4.576354508332229898e+00,1.678203935557839033e-01,4.595779770311648194e-01
-4.915381751479224626e+00,2.452995750377083006e-01,4.637189529992586379e-01
-5.270300140705807657e+00,3.324533982791007536e-01,4.685342081952200699e-01
-5.647739451876183203e+00,4.316734957721615751e-01,4.742106819307609911e-01
-6.056423792471454348e+00,5.463892132646702704e-01,4.810213226961085331e-01
-6.508321872539420738e+00,6.816297274506304404e-01,4.893770266348026476e-01
-7.020597467303928418e+00,8.450107298480199480e-01,4.999214524748155641e-01
-7.619180340257400097e+00,1.048588462805151389e+00,5.137162240521025991e-01
-8.345802744114745764e+00,1.312617242335238466e+00,5.326338100648272400e-01
-9.273137089780156828e+00,1.673863700740878091e+00,5.602829930268579117e-01
-1.054158954695209971e+01,2.206499427324013496e+00,6.045174584462591483e-01
